Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:38 AM,,,+131
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:39 AM,,,-144
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:39 AM,,,+133
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:45 AM,,,-148
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:45 AM,,,+136
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:56 AM,,,-142
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:56 AM,,,+131
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 12:48 PM,,,-144
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 12:48 PM,,,+133
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 12:51 PM,,,-142
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 12:51 PM,,,+131
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 01:46 PM,,,-144
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 01:46 PM,,,+133
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 02:44 PM,,,-142
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 02:44 PM,,,+131
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 03:45 PM,,,-144
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 03:45 PM,,,+133
